0: linda davis                   reba mcentire
501: tim roth                      andy serkis
502: libertas, a roman goddess     gustave eiffel
503: the latest research on dieteticssupplemental foods
504: make substantial territorial concessionsdisarm
505: pay reparations               disarm
507: 2 november 1982               1982
508: june 17, 1885                 1885
509: bicycle race                  to pass through nearby countries
510: beastie boys                  the beastie boys
511: gemma elizabeth whelan        victoria smurfit
513: lady gaga                     aaron raitiere
514: natalie hemby                 aaron raitiere
515: hillary lindsey               aaron raitiere
516: stealers wheel .              stealers wheel
517: 16th                          12th
518: 1900                          1896
519: raheem sterling               marcus rashford
520: gateholm island               marloes sands beach
521: two teams of eleven players   eleven
522: 28                            1
523: bharat petroleum corporation ltdbharat petroleum corporation
524: sunday, 2 september           13 july 1212
525: wednesday, 5 september 1666   13 july 1212
527: 21 july 2007                  2007
528: $2 billion                    €450 million
530: sixteen                       16
531: lord petyr baelish            daenerys
532: lady olenna tyrell            daenerys
533: president theodore roosevelt  congress
535: robins                        batman
536: fines and jail time           imprisonment for 6 months
537: sixth - generation            ios 12
539: 1996                          may 1995
540: daylight saving time          dst
542: elle                          emma
543: district of columbia          george washington
545: 1938                          july 24, 2009
546: 2029                          may 10
547: 70.0                          18.0.1026. 311
548: 2                             10
550: colonel reginald dyer         brigadier - general reginald e.h. dyer
551: february 1, 2018              october 12, 2017
553: december 2017                 august 2009
554: tympanon                      tympanum
555: may 1950                      1969
556: october 15, 2018              october 12, 2017
557: elaine & melanie silver       rosie o'donnell
558: saliva                        intestinal juice
559: stillwater                    jimmy page
560: sometime in 2019              2019
561: south carolina                south carolina gamecocks
562: december 16, 1974             july 8, 1987
564: france                        croatia
566: nancy                         shani wallis
567: private and non-federal public sourcesnon-federal public sources
568: rami                          chris kirkpatrick
569: max martin                    chris kirkpatrick
570: andreas carlsson              chris kirkpatrick
571: 4,038                         over 1,600
572: 1607 in jamestown, virginia   jamestown, virginia
573: price / dividend ratio        division by zero
576: june 2, 2017                  august 19, 2018
577: ozarks of missouri            missouri
578: steve coogan                  kevin hart
581: beginning of season 8         season 8
582: lara cox                      alison mulvaney
584: collabro                      tokio myers
585: ceallach spellman             callum woodhouse
586: taveuni, fiji                 australia
589: joe fagan                     bob paisley
590: rafael ben\xc3\xadtez         bob paisley
591: tupac shakur                  paul laurence dunbar
592: france                        2
593: charles bickford              james mason
594: jack carson                   james mason
596: 353 horsepower                363
598: anne - marie johnson          haywood nelson
599: the three flavours cornetto trilogythe world's end
600: the cornetto trilogy          the world's end
601: dinah washington              maria grever
602: mar\xc3\xada grever           maria grever
603: kocw                          kkv
604: ksas - tv                     kkv
605: kmtw                          kkv
606: kaas - tv                     kkv
607: 15 september 1916             1914
608: be easier to use              usability over optimal program efficiency
609: use natural language elements usability over optimal program efficiency
610: at the most $300,000          us $100,000
611: boston celtics                orlando magic
612: barcelona                     real madrid
615: rob davis                     cathy dennis
617: pewdiepie                     bernard atwood
619: vee                           piper chapman
620: united states national parks  national park service
623: 1975                          1971
624: bishop gorman                 miami senior high
625: alan merrill                  the arrows
626: russia                        josh risdon
627: 8,569                         8,571
628: november 1, 1955              1955
629: king's cross st. pancras      heathrow airport
630: seattle mariners              san diego padres
631: chicago cubs                  san diego padres
632: pete the pup                  pete
633: chevrolet ss                  chevrolet camaro
637: 432 park avenue               one57 one57
638: liberty plains                botany bay
639: abdul - jabbar, kareem        robert parish
641: crook brothers                uncle dave macon
642: 1,356                         646
644: in 1813                       1813
649: pel\xc3\xa9                   diego maradona
650: burl ives                     judith anderson
651: joe penny                     william conrad
653: sinoatrial node               the sinoatrial node
658: 8                             13
660: may 21, 1984                  october 29, 2017
661: hylton v. united states       marbury v. madison
662: kuomintang                    communist party of china
664: the bank                      the seller
665: penny bae bridges             olivia hussey
666: sanath jayasuriya             virat kohli
669: a few minutes                 30 minutes
670: ll cool j.                    mya
672: silent\xc3\xb3                silento
674: nabil elouahabi               michael john gambon
675: lin'an                        kaifeng
677: 5                             four
678: arguin                        katsina
679: south africa                  katsina
680: dutch gold coast              katsina
681: dutch loango - angola         katsina
682: dutch cape colony             katsina
683: s\xc3\xa3o tom\xc3\xa9        katsina
684: gor\xc3\xa9e                  katsina
685: mo\xc3\xa7ambique             katsina
686: 21 june 1976                  1976
687: october 9, 2003               may 12, 2015
688: 6                             sixth
689: oleg salenko                  guillermo stabile
692: john lennon                   george harrison
695: nine                          survivors
697: 2001                          1955
698: subcompact crossover suv      crossover
699: murphy                        ralph bellamy
701: charlie heaton                dacre montgomery
704: kevin kadish                  meghan trainor
706: lebron james                  stephen curry
707: georges benjamin clemenceau   joseph athanase gaston
708: mandalay bay hotel            route 91 harvest music festival
709: tony orlando and dawn         tony orlando
710: luigi creatore                hugo peretti
711: george david weiss            hugo peretti
713: guwahati and shillong, india  guwahati
715: the 2013 season               2013
716: county governments            federal republic
717: town or township governments  federal republic
718: municipal governments         federal republic
719: 1776                          september 9, 1776
720: tommy mccairns                tom smith
721: june 1, 2014                  1969
722: daisy ridley                  daisy jazz isobel
723: $400,000 annual               $400,000
724: ck nayudu                     lala amarnath
726: ryan reed                     trevor bayne
729: headey                        lena headey
730: flash thompson                andrew garfield
732: bengali folk singer hemanga biswashemanga biswas
733: todd michael haberkorn        michael haberkorn
734: laxative                      a laxative
735: mask                          dazed and confused
736: an investigator               marissa cooper
740: u.s. state                    hudson
741: ram nath kovind               narendra modi
742: microsoft                     mrs.
743: sibling rivalry               mind over murder
747: geothermal heat flux          solar energy
749: the four voices               brian hyland
751: australian singer kylie minoguecrowded house
752: bring it on                   bring it on again
753: kristoff st. john             michael baldwin
755: american r&b singer sza       sza
756: leonard nimoy                 zachary john quinto
759: charles albertine             mike curb
761: fever ray                     hafþor julius björsson
763: ios 11.2                      ios 10.3. 3
764: \xe2\x82\xb1 1000             sbb
765: spanish - origin              portuguese
766: north sea                     offshore of brest
767: daniel radcliffe              jacob radcliffe
770: march 4, 2018                 april 27, 2018
772: ezekiel                       james martin
774: michel gill                   jayne atkinson
776: february 2018                 april 3, 2018
778: sledgehammer games            activision games
779: truly                         i want you
780: february, 14, 1929            june 14, 1929
781: 7                             chicago bears
784: austin pendleton              dan aykroyd
785: 1965                          1966
786: 2.9 % of gdp                  10 %
787: christopher marlowe's         christopher marlowe
788: pyeongchang, south korea      pyeongchang county
790: benjamin harrison             thomas jefferson
791: brittany cherry               rachel bloom
792: a son named atreus            kratos
793: fungus                        c. africana
796: gland                         endocrine gland
797: telemundo                     fox sports
799: condensation                  gaseous phase
800: sir alex ferguson             alex ferguson
801: kelli marie giddish           kelli giddish
803: harold stassen                barack obama
804: june to september             june
807: walt disney world             universal orlando
808: the london studios            universal orlando
809: stephen curry                 deandre jordan
811: new england patriots          pittsburgh steelers
812: 1990                          1988
813: sally ann howes               adrian hall
814: 6 %                           tax
815: amendment v                   fifth amendment
816: justin long                   jason lee
817: mamanuca islands, fiji        fiji
818: the new world stages complex  new world stages
819: september 2012                january 2012
820: 16 january 1992               january 16, 1992
821: depositors in us banks        depositors
824: mohan lal sukhadia            vasundhara raje
827: rod mckuen                    terry jacks
829: 1928                          1922
832: cristela alonzo as cruz ramireznathan fillion
834: tissue heart valves           bioprosthesis
835: lorraine bracco               sami gayle
836: pitot tube                    water level gauges
837: pitot probe                   water level gauges
839: european                      italian
841: september 28, 2017            may 25, 2016
844: saturus, another christian martyredtertullian
845: an editor                     tertullian
847: green                         gold
848: harold `` hal '' jordan       guy gardner
849: april 1917                    1914
850: jonathan edwards              nicolaus zinzendorf
851: joseph drake                  frank harper
852: sugar                         oil
853: skilled labor                 oil
854: tobacco                       oil
855: coffee                        oil
856: allison `` alley '' mills     alley mills
857: 1972                          1983
858: eric stonestreet              eric allen stonestreet
859: greg maddux                   pitcher greg maddux
864: 1998                          october 27, 1998
865: randall flagg                 idris elba
866: microsoft office 2016         office 2019
867: belmont stakes                the kentucky derby
868: nick robinson                 ron livingston
869: 212 bc                        7th century bc
870: is a french expression        after us, the flood
871: diana's attendant, opis       opis
872: kenny baker                   gene kelly
873: louis armstrong               gene kelly
875: ella fitzgerald               gene kelly
876: 2013                          2012
878: beyonc\xc3\xa9 knowles - carterniketa calame
880: everton manager david moyes   alan pardew
883: fred willard                  chris savino
887: physical medicine and rehabilitationcpt section
888: telkom                        telkom sa
889: basanto utsav                 radha
890: dol jatra                     radha
892: brendan cole                  natasha kaplinsky
895: a bloom or a swarm            sea jellies
896: for the transfer of securitiestransfer of securities
897: district of columbia          t.c.
898: front - wheel - drive         front - wheel drive
901: the virginia plan             virginia plan
904: actual malice                 malice
906: michael de santa              trevor philips
907: franklin clinton              trevor philips
910: texas                         idaho
911: the 1990s                     1986
912: the 180th meridian            antimeridian
914: 2006                          november 2004
916: michigan                      danville, pennsylvania
917: 199,850                       629,000
918: november 19, 2004             february 13, 2015
919: aunt stephanie in the film    dill
920: aunt rachel                   dill
921: jean de dunois                admiral cochrane
922: 323 people                    13
923: an electoral college          electoral college
925: nearby geothermal power plant svartsengia lava flow
926: 2014                          june 13, 2014
928: luzhniki stadium, moscow      moscow
929: the indian subcontinent       ancient india
930: aaron dismuke                 tom ellis
932: \xc4\x8cech, petr             petr cech
933: black knight sports & entertainmentbill foley
935: legs                          below the tibia
936: thighs                        below the tibia
937: 22                            13
939: bhisham sahni                 dina pathak
940: michael `` mike '' henry      mike henry
942: mercedes                      quinn
944: burj khalifa in dubai         chrysler building
945: march 18, 1766                1766
946: october 2015                  2015
947: based on equipment running hourscar maintenance
948: date - based                  car maintenance
949: distance travelled by the vehiclecar maintenance
952: bailee madison                nicole kidman
954: the opening cover end         the cover page
955: age of five                   1740
956: january 1, 2013               2013
957: 1821                          1963
958: kenny johnson                 max thieriot
963: durable means of transport    iron oxide
965: technically still at war      north korea
967: sophia myles                  sophia jane myles
968: 15 - jun - 17                 december 17, 2008
969: brother - in - law            joey gladstone
970: the port authority            port authority
971: the state of new york         port authority
972: 25 -- 26 april 1986           26 april 1986
973: megan charpentier             ever gabo anderson
975: ave merson - o'brian          ever gabo anderson
976: michaela dicker               ever gabo anderson
977: brenda lee                    wayne carson
978: gwen mccrae                   wayne carson
980: 1996                          2013
981: rob cantor                    the ventures
982: william laws calley jr.       william calley jr.
983: water ice and rocky material  rocky material
984: government                    taxes
986: businessman bob stefanowski   ned lamont
987: paracetamol poisoning         liver damage
989: an online virtual world       virtual library
991: john and t.j. osborne         kennedy kelley
992: lee thomas miller             kennedy kelley
993: cayman islands                haiti
994: bermuda                       haiti
997: selby baqwa                   thuli madonsela
998: college of engineering, pune  chand college of engineering
999: petty                         tom petty
1000: orbison                       tom petty
1002: carbapenems                   amikacin
1003: polymyxins                    amikacin
1004: tigecycline                   amikacin
1005: exodus 34 : 28                deuteronomy
1006: deuteronomy 10 : 4            deuteronomy
1007: cell cycle                    production of atp
1008: signaling                     production of atp
1009: cellular energy               production of atp
1010: cell growth                   production of atp
1011: cellular differentiation      production of atp
1012: cell death                    production of atp
1013: october 18, 1961              1961
1015: 12.5                          12
1016: nelson mandela muntz          muntz
1018: the jordanaires               jordanaires
1019: 60                            two - thirds
1020: stones                        bricks
1021: wood                          bricks
1022: rammed earth                  bricks
1024: reggie jackson                stan musial
1027: christina moore               josh meyers
1028: 922                           17, 504
1030: university of colorado bouldertexas tech
1031: texas a&m university          texas tech
1032: university of nebraska -- lincolntexas tech
1033: university of missouri        texas tech
1034: surat, india                  surat
1035: august 21, 2017               monday morning
1036: in 1887                       1787
1037: edmund cartwright             zhang heng
1038: france and great britain      great britain
1039: mitzvah                       thou shalt not kill
1040: september 6, 2018             september 6
1041: lesley fera                   andrea parker
1043: josh brolin                   sean astin
1046: 2003                          june 2017
1047: iron man                      doctor strange
1049: fran\xc3\xa7ois scarborough clemmonsmitchell whitfield
1050: kailyn davis                  mitchell whitfield
1051: fred rogers in archival recordingsmitchell whitfield
1052: mccolm cephas jr .            mitchell whitfield
1053: joanne rogers                 mitchell whitfield
1054: yo - yo ma                    mitchell whitfield
1055: david newell                  mitchell whitfield
1056: joe negri                     mitchell whitfield
1057: ludwig van beethoven          franz schubert
1058: gwen mccrae                   wayne carson
1060: italy                         germany
1061: japan                         germany
1062: maggie elizabeth jones        rosie
1063: ring form                     polysaccharides
1064: los angeles                   puebla
1065: 58                            45
1066: jos\xc3\xa9 alejandrino       jose corazon de jesus
1070: nightwing / dick grayson      dick grayson
1071: united states                 japan
1072: paul mccartney                linda mccartney
1074: susan bennett                 susan alice bennett
1075: loosely based                 texarkana
1076: john f. kennedy               bill clinton
1078: nick kroll                    mark levin
1079: australia                     south africa
1080: 2009 -- 10                    2015
1081: 2000 -- 01                    2015
1082: 2014 -- 15                    2015
1083: 1991 -- 92                    2015
1084: 1990 -- 91                    2015
1085: $347,400 cad                  cad $ 347,400
1086: 6                             13
1088: philadelphia                  the united states
1090: eric garcetti                 eric michael garcetti
1091: republic                      presidential representative democratic republic
1092: 840                           936
1094: international date line       antimeridian
1096: novel                         fiction
1099: british bacteriologist frederick griffithalfred hershey
1100: ed sheeran                    steve mac
1102: kevin `` she'kspere '' briggs steve mac
1103: johnny mcdaid                 steve mac
1104: kandi burruss                 steve mac
1105: tameka `` tiny '' cottle      steve mac
1106: probability of default        the likelihood the debt will be repaid
1107: flag day 1954                 june 14, 1954
1108: may 8, 1994                   1990
1109: physically removing the hazardengineered controls
1112: jerry leiber and mike stoller jerry leiber
1114: may 31, 2009                  31 may 2009
1116: july 30, 2018                 july 13, 2018
1118: 1966                          1938
1120: best - of - seven             best - of - seven elimination tournament
1121: pewdiepie                     pewpie
1122: observation and telecommunicationsoffice space
1123: the mariana trench            mariana trench
1124: paul kaye                     liam mcintyre
1125: 1707 -- 1708                  1707
1126: an evening with mr. yang      `` my fake fiance ''
1128: samaveda                      samhitas
1129: yajurveda                     samhitas
1130: atharvaveda                   samhitas
1131: rigveda                       samhitas
1132: baked beans                   navy beans
1133: april                         kevin
1134: 2001 -- 2009                  2001
1135: sewage                        sewerage
1136: indian ocean                  northern indian ocean
1138: older ted mosby               bob saget
1141: dallas davidson               rob hatch
1143: 80                            81
1144: ariranga pillay               jacob zuma
1145: thanksgiving                  26 november 2011
1146: patrick stewart               james corden
1147: thirteen                      nine
1151: 1995                          1996
1152: chromolaena odorata           christmas bush
1153: vancouver, british columbia   british columbia
1155: 3 july 2007                   july 2007
1157: tom brady                     andy dalton
1161: young helper                  young child
1162: 1971 holden kingswood         holden kingswood
1163: ben winspear                  olivia bligh
1164: 37                            12
1166: 417 minutes ( extended )      13
1167: over one million students     1.8
1168: nishiyama onsen keiunkan      fujiwara mahito
1169: 1991                          1931
1171: 1970                          april 22
1172: paul william walker iv        paul walker iv
1173: 2014                          2002
1176: july 14, 1983                 july 30
1178: pushyagupta                   rudradaman i
1179: cadmium                       chlorine gas
1180: greenland                     antarctica
1183: sebastian shaw                mackendree lanter
1184: mackenzie foy                 jake
1185: sheryl crow ( 2003 )          keith hampshire
1186: p.p. arnold ( 1967 )          keith hampshire
1187: rod stewart ( 1977 )          keith hampshire
1188: keith hampshire ( 1973 )      keith hampshire
1190: union station                 laurel race track station
1191: egypt                         around 7 bc
1192: pope gregory i                thomas crofton croker
1193: brianna                       kalani brooke hilliker
1195: yuzuru hanyu                  jin boyang
1196: blasphemy                     against perjury
1204: 2015 -- 16                    2018
1205: walk the moon                 victoria duffield
1206: patent holding companies      poultry
1207: february 13, 2009             2016
1208: constituency                  the people
1210: beijing                       tokyo
1211: ramadan                       sawm
1212: margot kidder                 kidder
1215: the spanish                   china
1216: ganesh vasudev mavlankar      rajendra prasad
1217: germany                       france
1218: `` losing my religion ''      the season finale
1219: defendant                     suspect
1220: the cellos                    joseph haydn
1221: january 3, 1959               march 30, 1867
1222: m. emmet walsh                tim allen
1224: joey scott                    oliver conant
1225: milton french - stewart       french stewart
1226: 1951                          may 17, 1954
1228: june 21, 2018                 june 7, 2018
1229: sacred fig                    bodhi tree
1230: at least 20                   20
1231: 44                            161
1232: india                         16 january 1978
1234: sherwood forest               the holy land
1235: os x el capitan               macos mojave
1236: magnus maximus                honorius
1239: single - member districts     the senate
1241: greater antilles on the north lesser antilles
1242: republican governments        thomas jefferson
1243: cb77 super hawk               an inquiry into values
1246: 1971                          december 18, 1971
1247: martin van buren              john quincy adams
1248: his eyes healed               his terminal liver disease
1249: lou reed                      susan boyle
1251: argentina                     germany
1253: eileen brennan                clu gulager
1254: ellen burstyn                 clu gulager
1255: randy quaid                   clu gulager
1256: ben johnson                   clu gulager
1257: timothy bottoms               clu gulager
1258: cloris leachman               clu gulager
1259: jeff bridges                  clu gulager
1260: cybill shepherd               clu gulager
1262: typical antarctic tundra      desert
1263: mindanao                      the south
1267: once                          101
1270: left side                     left - hand drive
1271: public                        hollywood chamber of commerce
1272: 6 sausage rolls               signature bake
1273: banana & chocolate chip loavessignature bake
1274: wholemeal cheese scones       signature bake
1275: coffee & walnut cake          signature bake
1276: 675 ad                        about 950 to 1240
1277: saint ignatius ' college      geraint thomas
1279: september 29, 2017            may 18, 2018
1280: taylor                        seth cohen
1281: president dwight eisenhower   michael blumenthal
1284: 894                           92
1286: theodore templeton            derek trotter
1288: the march hare                march hare
1289: the stone age                 palaeolithic
